FeatureCode,DateCode,Measurement,Units,Value,Age,Sex,Migration Source,Migration Type
S92000003,2010,Count,People,866,22 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,758,27 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,146,49 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,982,25 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,154,16 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,225,17 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,128,15 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,426,18 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,849,26 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,659,19 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,139,7 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,269,37 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,588,21 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,535,20 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,293,35 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,230,38 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,152,5 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,101,0 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,83,13 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,200,4 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,102,11 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,999,22 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,95,12 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,128,10 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,370,1 year,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,115,8 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,266,3 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,615,21 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,313,2 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,188,39 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,196,1 year,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,305,34 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,228,2 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,139,6 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,142,9 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,115,53 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,127,55 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,146,51 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,230,40 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,137,37 years,Female,To-from Overseas,Out
S92000003,2008,Count,People,152,49 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,155,36 years,Female,To-from Overseas,Out
S92000003,2008,Count,People,171,46 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,133,54 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,179,47 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,119,50 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,153,52 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,142,48 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,39,74 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,273,38 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,50,71 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,54,72 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,196,44 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,296,39 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,351,37 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,82,65 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,34,73 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,67,66 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,62,69 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,52,70 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,62,67 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,439,33 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,549,20 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,194,16 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,597,21 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,442,32 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,648,19 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,382,36 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,74,44 years,Female,To-from Overseas,Out
S92000003,2008,Count,People,159,11 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,163,8 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,191,17 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,156,9 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,116,15 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,241,4 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,407,35 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,287,3 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,846,27 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,797,28 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,363,34 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,856,22 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,419,18 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,972,25 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,535,30 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,506,31 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,636,29 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,12,85 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,21,89 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,26,84 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,40,80 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,60,74 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,48,76 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,36,82 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,19881,All,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,83,90 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,33,86 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,18,87 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,33,81 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,58,72 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,33,77 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,34,78 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,17,67 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,56,73 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,84,70 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,101,67 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,45,79 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,93,16 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,96,15 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,45,75 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,83,71 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,68,69 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,90,14 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,166,35 years,Female,To-from Overseas,Out
S92000003,2008,Count,People,32,77 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,88,90 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,33,86 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,241,32 years,Female,To-from Overseas,Out
S92000003,2008,Count,People,46,78 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,32,79 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,209,43 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,54,68 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,260,41 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,214,42 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,205,33 years,Female,To-from Overseas,Out
S92000003,2008,Count,People,197,45 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,25,75 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,29,76 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,25,84 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,34,81 years,Female,To-from Rest of UK,Out
S92000003,2018,Count,People,25,88 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,25,80 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,33,85 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,29,88 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,19,89 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,31,82 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,37,83 years,Female,To-from Rest of UK,Out
S92000003,2008,Count,People,32,87 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,11,81 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,19,67 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,4,89 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,9,82 years,Female,To-from Overseas,Out
S92000003,2007,Count,People,120,58 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,119,59 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,17,69 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,10,79 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,11,84 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,11,83 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,5,86 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,4,87 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,9,85 years,Female,To-from Overseas,Out
S92000003,2007,Count,People,113,55 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,132,54 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,118,57 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,114,53 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,333,1 year,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,99,0 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,22326,All,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,130,51 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,138,52 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,121,60 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,204,43 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,122,56 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,197,44 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,10,77 years,Female,To-from Overseas,Out
S92000003,2006,Count,People,132,58 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,28,84 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,13,72 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,14,70 years,Female,To-from Overseas,Out
S92000003,2006,Count,People,121,55 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,7,78 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,44,55 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,15,74 years,Female,To-from Overseas,Out
S92000003,2006,Count,People,33,86 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,13,73 years,Female,To-from Overseas,Out
S92000003,2006,Count,People,23,88 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,33,85 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,62,49 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,53,50 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,82,45 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,54,52 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,9,80 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,46,51 years,Female,To-from Overseas,Out
S92000003,2006,Count,People,105,57 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,130,59 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,129,56 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,73,46 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,61,48 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,23,71 years,Female,To-from Overseas,Out
S92000003,2007,Count,People,46,71 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,45,70 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,880,22 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,1373,23 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,47,72 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,48,74 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,39,78 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,959,26 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,372,36 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,987,25 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,637,29 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,550,30 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,326,37 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,256,41 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,156,47 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,148,48 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,182,45 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,145,50 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,180,46 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,48,73 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,39,76 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,46,77 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,45,75 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,161,49 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,262,42 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,36,79 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,541,31 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,498,32 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,267,39 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,249,40 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,223,4 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,276,2 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,171,6 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,375,34 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,388,35 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,428,33 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,164,8 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,282,38 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,192,7 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,830,27 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,736,28 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,24,66 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,9,75 years,Female,To-from Overseas,Out
S92000003,2007,Count,People,1252,24 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,29,64 years,Female,To-from Overseas,Out
S92000003,2007,Count,People,203,5 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,172,9 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,419,18 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,262,3 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,166,10 years,Female,To-from Rest of UK,Out
S92000003,2007,Count,People,166,11 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,328,35 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,338,36 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,76,66 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,98,62 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,668,28 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,653,29 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,310,37 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,89,64 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,96,61 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,120,58 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,113,63 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,146,51 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,119,57 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,71,15 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,81,11 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,81,14 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,156,18 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,581,26 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,241,19 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,131,17 years,Female,To-from Overseas,Out
S92000003,2010,Count,People,93,59 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,385,33 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,105,60 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,91,10 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,78,12 years,Female,To-from Overseas,Out
S92000003,2010,Count,People,363,34 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,171,45 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,194,43 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,130,53 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,161,47 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,183,46 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,617,30 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,273,39 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,124,55 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,141,50 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,190,48 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,141,54 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,121,56 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,111,52 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,212,42 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,283,38 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,33,88 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,250,40 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,77,65 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,226,41 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,199,44 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,533,31 years,Female,To-from Rest of UK,Out
S92000003,2010,Count,People,464,32 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,504,22 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,353,21 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,777,23 years,Female,To-from Overseas,Out
S92000003,2006,Count,People,32,83 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,29,81 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,57,71 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,45,60 years,Female,To-from Overseas,Out
S92000003,2006,Count,People,28,75 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,29,82 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,35,79 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,53,70 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,83,65 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,35,72 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,29,61 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,45,54 years,Female,To-from Overseas,Out
S92000003,2006,Count,People,72,66 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,33,59 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,54,57 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,64,47 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,44,58 years,Female,To-from Overseas,Out
S92000003,2006,Count,People,22,87 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,49,56 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,53,53 years,Female,To-from Overseas,Out
S92000003,2006,Count,People,52,69 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,31,80 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,59,67 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,63,90 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,9,89 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,68,68 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,161,46 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,120,53 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,130,52 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,148,50 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,47,76 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,41,74 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,35,78 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,685,25 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,60,13 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,247,20 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,744,24 years,Female,To-from Overseas,Out
S92000003,2006,Count,People,114,54 years,Female,To-from Rest of UK,Out
S92000003,2004,Count,People,499,27 years,Female,To-from Overseas,Out
S92000003,2006,Count,People,162,49 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,229,45 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,98,62 years,Female,To-from Rest of UK,Out
S92000003,2006,Count,People,167,47 years,Female,To-from Rest of UK,Out
